Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Material (product.metafields.shopify.material),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
aloe-avocado-spearmint,Aloe Avocado + Spearmint,"<p><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span></p>
<p><span style=""text-decoration: underline;""></span>Olive Oil, Coconut Oil, Distilled Water, Sodium Hydroxide (Lye) Avocado Oil, Castor Oil, Aloe,  Cocoa Butter, Avocado Butter, French clay, Spirulina powder, Lime, Rosemary, Spearmint, peppermint, poppyseeds </p>
<p><strong>5-6 oz Bar</strong></p>
<p><span style=""text-decoration: underline;""><strong>Key Ingredients and a few of its benefits:</strong></span></p>
<p><strong>Avocado Butter </strong>has many benefits for skin, it’s rich in fatty acids which deeply hydrates the skin and makes it soft. It contains antioxidants and vitamins A,D and E which can help reduce the signs of aging like wrinkles and age spots. It can help prevent sun damage and soothe irritated skin from sunburn and shaving. It can help control acne or breakouts.  <br><br></p>
<p><strong>Spearmint </strong>can relieve skin irritation such as itchiness, insect bites and skin condition such as athlete’s foot. It helps fight acne-causing bacteria. Also can unclog skin and promote its cleansing while <strong></strong>leaving your skin feeling<strong> cool and refreshed. <br></strong></p>
<p><strong>lime </strong>kills bacteria and fungus in the skin. It also, tones and tightens the skin</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>HOW TO MAKE YOUR SOAP LAST LONGER</strong></span></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer.</span></p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/68473ED4-6A6B-4CB5-92AE-C6B2215EC3AF.jpg?v=1732918377,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
wild-lavender,Wild Lavender (Exfoliating Bar),"<p><span><strong>Wild Lavender</strong> is an all-natural, vegan, and palm-oil free soap bar made with coconut milk for an amazingly creamy and gentle lather. This bar is quite exfoliating, due to the sandalwood powder. Leaving your skin feeling smooth, and it smells amazing.</span></p>
<p><strong>SCENT</strong></p>
<p>Woodsy Lavender </p>
<p><span><strong>INGREDIENTS</strong> </span></p>
<p><span>Olive Oil, Coconut Oil, Organic Cocoa Butter, Coconut Milk, Distilled Water, Sodium Hydroxide, Avocado Oil, Castor Oil, Essential Oil Blends of lavender,  fir needle,  patchouli, juniper berry Brazilian Clay, Sandalwood Powder.</span></p>
<p><span><strong>SIZE</strong> </span></p>
<p>5-6 oz</p>
<p><strong>TIPS FOR EXTENDING THE LIFE OF YOUR SOAP</strong></p>
<p><span>Place your soap in a dish that drains (not flat on the tile or in a non-draining dish. It will definitely make the soap last longer. </span></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/9700AAFF-401F-434F-8407-3E2F634828FD.jpg?v=1733113373,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
carrot-turmeric-lemon,Carrot Turmeric + Lemon,"<p><span style=""text-decoration: underline;""><strong> </strong></span></p>
<p><strong><span style=""text-decoration: underline;"">Ingredients  </span></strong></p>
<p><strong></strong>Olive Oil, Coconut Oil, Shea Butter, Mango Butter, Jojoba Oil, Castor Oil, Water, Sodium Hydroxide, Carrot, Turmeric, Lemon</p>
<p><strong>5-6 oz Bar</strong></p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Key Ingredients and it’s Benefit </strong></span></p>
<p><strong>Carrots</strong>-<strong> ( Anti- Inflammatory)</strong>The vitamin C in carrots helps keep skin looking youthful and healthy. It gives the skin its elasticity and strength. Carrot can reduce the redness and swelling of rashes and scars </p>
<p><strong>Turmeric- (Anti- aging) </strong>Turmeric can help slow down signs of aging, such as wrinkles, age spots and fine lines. It can also help with dry or textured skin, dark circles and dullness. <br><br><strong>Lemon- </strong> </p>
<p>•Tightens and tones skin, reduces the amount of oil in skin. Leaves complexion looking vibrant, healthy and smooth. <br>• Kills bacteria that may get trapped in pores and causes breakouts. It can help to lighten and brighten your skin.  <br><br></p>
<p><strong>This bar can be used on face and body. <br></strong></p>
<p><span style=""text-decoration: underline;""><strong>HOW TO MAKE YOUR SOAP LAST LONGER</strong></span></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer.</span></p>
<p> </p>
<p> </p>
<p> </p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/4EF1623B-A5A9-4B6A-971E-01C9857A3054.jpg?v=1732711347,1,"",false,,,,,,,,,,,,,,,'3,all-ages,,,,,,,,,,all-skin-types; aging; oily; problem,,lb,,,true,,,active
carrot-turmeric-lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/8BF4C472-1560-401B-A58F-D5D22501316D.jpg?v=1732711347,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea-tree-charcoal,Tea Tree Charcoal,"<p><span>Our <strong>Tea Tree Charcoal </strong>is known to clear troubled skin. This bar can be used on the face and body. Its healing and cleansing properties has a combination of essential oils that provide antibacterial as well as the healing of acne and other skin conditions. </span><span><strong>Activated charcoal</strong> and <strong>bentonite clay</strong> are traditionally used for acne-prone skin</span></p>
<p> </p>
<p><strong><span style=""text-decoration: underline;"">Ingredients:</span></strong></p>
<p><strong></strong>Olive Oil, Coconut Oil, Sunflower Oil, Rice Bran Oil, Avocado Oil , Castor Oil , Sodium Hydroxide (Lye) , Water, Aloe Vera, Essential blends of <strong>Tea Tree, Lavender and Cedarwood, </strong>Bentonite, Activated Charcoal.  </p>
<p><strong>Bar </strong>4-5 oz </p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,bwm-cosmetics,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/0DE77B8A-204E-4603-85C1-4C5E5AA94D3A.jpg?v=1733113516,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
sweet-coco-body-butter,Sweet Coco Body Butter,"<p><span>Treat yourself to our amazing scented Whipped Body </span><span>Butter and say goodbye to dry, dull skin. Not only will our body butter leave your skin feeling silky smooth, it wipes out dryness to reveal a softness that sticks around. Made with 100% all-natural ingredients. </span></p>
<p><span><span style=""text-decoration: underline;""><strong>INGREDIENTS</strong></span>: Shea butter, Vitis vinifera (Grapeseed) Oil, Jojoba Oil, Cocos nucifera (organic coconut oil), Persea Gratissima (Avocado) Oil, Argania Spinosa Kernel Oil (argan oil), Tocopherol (vitamin E) oil, Fragrance Oil, Paraben &amp; Phthalate Free), Mica, Phenoxyethanol, sorbic acid, and capryly! glycol</span></p>
<p><strong>BENEFIT OF INGREDIENTS USED:</strong></p>
<ul>
<li><span><strong>Shea Butter</strong> - Rejuvenates dry skin and repairs rough skin.</span></li>
<li><span><strong>Grape-seed Oil</strong> - Prevent skin dryness and itching.</span></li>
<li><span><strong>Jojoba Oil</strong> - Promotes healthy-looking skin.</span></li>
<li><span><strong>Coconut Oil</strong> - Provides nutrient-rich hydration as a natural moisturizer for radiant skin.</span></li>
<li><span><strong>Avocado Oil</strong> - Bring about smoother, softer, and more hydrated skin.</span></li>
<li><span><strong>Argan Oil</strong> - Helps to maintain skin's youthfulness.</span></li>
<li><span><strong>Vitamin E</strong> - Stops skin from loosing moisture.</span></li>
</ul>
<p><strong>Jar Size 8oz.</strong></p>
<p><strong>SMELL IS AMAZING WILL DEFINITELY TURN HEADS.</strong></p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Oil,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/B7CD29B6-72B2-4F9D-A212-984611BDDA00.jpg?v=1721212787,1,"",false,,,,,,,,,,,,,,,,,,shea-butter; glycolic-acid; jojoba-oil; coconut-oil; avocado-oil; argan-oil; vitamin-e,,,,all-natural-ingredients; paraben-free; phthalate-free,cream,,moisturizing; hydrating; nourishing; repairing; softening,dry; rough; sensitive,,lb,,,true,,,draft
untitled-jul11_16-26,Blu Passion Body Butter,"<p><span>Treat yourself to our amazing scented Whipped Body Butter and say goodbye to dry, dull skin. </span><span>Not only will our body butter leave your skin feeling silky smooth, </span><span>It wipes out dryness to reveal a softness that sticks around. Made </span><span>with 100% all-natural ingredients.</span></p>
<p><span style=""text-decoration: underline;""><strong>INGREDIENTS:  </strong></span> Shea butter, Vitis vinifera (Grapeseed) Oil, Jojoba Oil, Cocos nucifera (organic coconut oil), Persea Gratissima (Avocado)<span>Oil, Argania Spinosa Kernel Oil (argan oil), Tocopherol (vitamin E) oil, Fragrance Oil, Paraben &amp; Phthalate Free), Mica, Phenoxyethanol, sorbic acid, and caprylyl glycol</span></p>
<p><span><span style=""text-decoration: underline;""><strong>BENEFIT OF INGREDIENTS USED:</strong></span><br></span></p>
<p><span><span style=""text-decoration: underline;""></span>•</span><span><strong>Shea Butter</strong> - Rejuvenates dry skin and repairs rough skin.</span></p>
<meta charset=""UTF-8"">
<p><span>•<strong>Grape-seed Oil</strong> - Prevent skin dryness and itching.</span></p>
<meta charset=""UTF-8"">
<p><span>•<strong>Jojoba Oil</strong> - Promotes healthy-looking skin.</span></p>
<p><span>•<strong>Coconut Oil</strong> - Provides nutrient-rich hydration as a natural moisturizer for radiant skin.</span></p>
<p><span>•<strong>Avocado Oil</strong> - Bring about smoother, softer, and more hydrated skin.</span></p>
<p><span>•<strong>Argan Oil</strong> - Helps to maintain skin's youthfulness.</span></p>
<p><span>•<strong>Vitamin E</strong> - Stops skin from loosing moisture.</span></p>
<p> </p>
<p><strong>Jar Size 8oz.</strong></p>
<p><strong>SMELL IS AMAZING WILL DEFINITELY TURN HEADS.</strong></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,18.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/F729FDE4-980E-4FEE-8111-A4F44ED2EF1B.jpg?v=1720881081,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
untitled-jul11_16-26,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/26F694B4-74A4-46D6-BE92-C777006E0CAA.jpg?v=1720881082,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet-coco-body-oil,Sweet Coco Body Oil,"<p><strong>4 oz bottle size</strong></p>
<p><span><strong>Sweet Coco</strong> body oil will keep your skin hydrated and nourished through the day without making you greasy. It has a light sweet scent that smells so amazing.</span></p>
<p><span><strong>Ingredients</strong>: Grapeseed oil, Coconut oil, Almond Oil, jojoba oil, Apricot oil, Avocado oil, coco caprylate, vitamin E and fragrance</span></p>
<p><strong>Fragrance Note:</strong></p>
<p><span>amber • coconut • Jasmine</span></p>
<p><strong>Some of the Benefits:</strong></p>
<p><span><strong>Almond oil</strong>- is a noncomedogenic oil, meaning it won't clog so it's safe to use as an overnight treatment. Almond oil is also a lightweight oil, so it won't feel heavy or greasy on your skin.</span></p>
<p><strong>Grape seed oil:</strong></p>
<ul>
<li><span>Tightens Skin</span></li>
<li><span>Evens Skin Tone</span></li>
<li><span>Moisturizes</span></li>
<li><span>Prevent UV Damage</span></li>
</ul>
<p> </p>
<meta charset=""UTF-8"">
<p><span><strong>Coconut oil:</strong></span></p>
<p><span>is also very moisturizing for dry skin.</span></p>
<p><span><strong>Jojoba Oil</strong>:</span></p>
<p><span>Natural moisturiser for your skin, doesn't clog pores.</span></p>
<p> </p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,13.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/B653C5E7-0E1D-4876-9CAA-0C3BA0ABC759.jpg?v=1711473973,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
crave-body-oil,Crave Body Oil,"<p><strong>4 oz bottle size</strong></p>
<p><span><strong>Crave Body Oil</strong> will keep your skin hydrated and nourished through the day without making you greasy. It has a light sweet scent that smells so amazing.</span></p>
<p><span><strong>Ingredients:</strong> Grapeseed oil, Safflower oil, jojoba oil, Avocado oil, coco caprylate, vitamin E and fragrance</span></p>
<p><strong>Fragrance Note:</strong></p>
<p><span>• </span><span>Jasmine, Amber, Sandalwood, Musk</span></p>
<p><strong>Some of the Benefits:</strong></p>
<p><strong>Grapeseed oil:</strong></p>
<ul>
<li><span>Tightens Skin</span></li>
<li><span>Evens Skin Tone</span></li>
<li><span>Moisturizes</span></li>
<li><span>Prevent UV Damage</span></li>
</ul>
<p><strong>Jojoba Oil:</strong></p>
<p><span>Natural moisturiser for your skin, doesn't clog pores.</span></p>
<p><span><strong>Safflower oil:</strong> is great for sensitive skin. strengthening the skin barrier and helping to prevent daily moisture loss. It's often recommended for dry or very dry skin, as well as dehydrated skin, as it helps to hold in moisture.</span></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,13.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/E161A057-B0B5-4DB0-9B8F-A6FFCEB08103.jpg?v=1711473352,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
sweet-kisses-body-oil,Sweet Kisses Body Oil,"<p><span><strong>4 oz bottle size</strong></span></p>
<p>Sweet Kisses body oil will keep your skin hydrated and nourished through the day without making you greasy. It has a light sweet scent that smells so amazing.</p>
<p><span><strong>Ingredients:</strong> Grapeseed oil, Safflower oil, jojoba oil, Avocado oil, coco caprylate, vitamin E and fragrance</span></p>
<p> </p>
<p><span><strong>Fragrance Note: </strong></span></p>
<meta charset=""UTF-8"">
<ul>
<li>
<span>Tangerine,</span><span> Rose, </span>Raspberry, Sandalwood, Musk</li>
</ul>
<p><span> </span></p>
<p><span><strong>Some of the Benefits</strong>:</span></p>
<p><strong>Grapeseed oil:</strong></p>
<ul>
<li><span>Tightens Skin</span></li>
<li><span>Evens Skin Tone</span></li>
<li><span>Moisturizes</span></li>
<li><span>Prevent UV Damage</span></li>
</ul>
<p><strong>Jojoba Oil: </strong></p>
<p><span>Natural moisturiser for your skin, doesn’t clog pores.</span></p>
<p><span><strong>Safflower oil: </strong>is great for sensitive skin. <b>strengthening the skin barrier and helping to prevent daily moisture loss</b>. It’s often recommended for dry or very dry skin, as well as dehydrated skin, as it helps to hold in moisture.</span></p>
<p> </p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Oil,"","",false,Title,Default Title,,,,,,,,SOLD OUT,0.0,shopify,deny,bwm-cosmetics,13.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/9709B0CB-F76C-4F32-9D7D-C9A7395C73A9.jpg?v=1711450192,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,draft
3-in-1-extra-strength-hair-growth-oil-bundle-deal,3-In-1 Extra Strength Hair Growth Oil Bundle Deal,"<p style=""text-align: center;""><span style=""text-decoration: underline;""><strong>BWM EXTRA STRENGTH HAIR GROWTH OIL</strong></span></p>
<p style=""text-align: center;""><span style=""text-decoration: underline;""><strong>Buy 3 and Save $5</strong></span></p>
<p style=""text-align: center;""><span>BWM Extra Strength Rosemary + Fenugreek Hair Growth</span></p>
<p style=""text-align: center;""><span>Oil is a blend of 100% all natural oils and herbs. This handmade oil is a little more potent than our original oil.</span></p>
<p style=""text-align: center;""><span>This will help your hair to grow thicker and longer if consistent. It's great for all hair types for both women and men. BWM Extra Strength is 100% chemical and cruelty free. The herbs are infused for a minimum of 4 weeks before bottled.</span></p>
<p style=""text-align: center;""><strong>Size 4oz/120ml</strong></p>
<p style=""text-align: center;""><span><span style=""text-decoration: underline;""><strong>Ingredients</strong></span>: Almond Oil, Grapeseed Oil, Rosemary, Castor Oil, Avocado Oil, Fenugreek Seeds, Blackseed Oil, Herbal Blend, Rosemary Oil, Vitamin E, Biotin, Peppermint Oil.</span></p>
<p style=""text-align: center;""><strong>For best results, read and follow as directed.</strong></p>
<p style=""text-align: left;""><span><span style=""text-decoration: underline;""><strong>Directions</strong></span>: Shake well before use. Apply a generous amount of oil directly to the scalp and massage in for 1-2 minutes. Use oil 3-5 times per week (or as needed). This oil is for external use only. Please perform a patch test before using.</span></p>",BWM Cosmetics,Health & Beauty > Personal Care > Hair Care,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,70.00,75.00,true,false,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/C367126A-0D4F-461D-BE11-A688BBA05A97.jpg?v=1710352930,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
extra-strength-hair-growth-oil,Extra Strength Hair Growth Oil,"<p style=""text-align: center;""><strong>BWM EXTRA STRENGTH HAIR GROWTH OIL</strong></p>
<p style=""text-align: center;""><span>BWM Extra Strength Rosemary + Fenugreek Hair Growth Oil is a blend of 100% all natural oils and herbs. This handmade oil is a little more potent than our original oil. This will help your hair to grow thicker and longer if consistent. It's great for all hair types for both women and men. BWM Extra Strength is 100% chemical and cruelty free. The herbs are infused for a minimum of 4 weeks before bottled. </span></p>
<p style=""text-align: center;""><strong>Size 4oz/120ml</strong></p>
<p><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span> Almond Oil, Grapeseed Oil, Rosemary, Castor Oil, Avocado Oil, Fenugreek Seeds, Blackseed Oil, Herbal Blend, Rosemary Oil, Vitamin E, Biotin, Peppermint Oil.</p>
<p style=""text-align: center;""><strong>For best results, read and follow as directed.</strong></p>
<p><span><strong><span style=""text-decoration: underline;"">Directions</span>: </strong>Shake well before use. Apply a generous amount of oil directly to the scalp and massage in for 1-2 minutes. Use oil 3-5 times per week (or as needed). This oil is for external use only. Please perform a patch test before using.</span></p>
<p> </p>
<p style=""text-align: center;""> </p>",BWM Cosmetics,Health & Beauty > Personal Care > Hair Care,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/CD93A0EA-3671-4FF2-8B82-1ADBDA28ABDB.jpg?v=1710349218,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
8oz-men-hydrating-body-oil,8oz Men hydrating Body oil,"<p><span>Dats HIM mens body oil will keep your skin hydrated and nourished through the day without making you greasy. It has a light refreshing scent that smells so amazing.</span></p>
<p><span> Ingredients: </span></p>
<p><span>Almond oil, grapeseed oil, coconut oil , rosehip seed oil, jojoba oil, Avocado oil, coco caprylate, vitamin E and fragrance Some of the Benefits: Almond oil- is a noncomedogenic oil, meaning it won't clog so it's safe to use as an overnight treatment. Almond oil is also a lightweight oil, so it won't feel heavy or greasy on vour skin. Grapeseed oil- </span></p>
<p><span>•Tightens Skin </span></p>
<p><span>•Evens Skin Tone</span></p>
<p><span> •Moisturizes</span></p>
<p><span> •Prevent UV Damage Coconut oil- is also very moisturizing for dry skin.</span></p>",BWM Cosmetics,,"","",false,Title,Default Title,,,,,,,,"",226.796185,shopify,deny,manual,23.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/8o.webp?v=1710145899,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,draft
untitled-mar8_20-07,Dats HIM Body Oil (For HIM) 4oz,"<p>4oz Men hydrating Body oil</p>
<p> </p>
<p><span>Dats HIM mens body oil will keep your skin hydrated and nourished through the day without making you greasy. It has a light refreshing scent that smells so amazing.</span></p>
<p><span>Ingredients: Almond oil, grapeseed oil, coconut oil ,rosehip seed oil, jojoba oil, Avocado oil, coco caprylate, vitamin E and fragrance </span></p>
<p> </p>
<p><strong>Some of the Benefits:</strong></p>
<p class=""p1""><span class=""s1""><strong>Almond oil-</strong> is a noncomedogenic oil, meaning it won't clog so it's safe to use as an overnight treatment. Almond oil is also a lightweight oil, so it won't feel heavy or greasy on your skin.</span></p>
<p class=""p1""><strong><span class=""s1"">Grapeseed oil-</span></strong></p>
<p><span>•Tightens Skin</span></p>
<p><span>•Evens Skin Tone</span></p>
<p><span>•Moisturizes</span></p>
<p><span>•Prevent UV Damage</span></p>
<p><span><strong>Coconut oil-</strong></span><span> is also very moisturizing for dry skin.</span></p>
<p><span> </span></p>
<p><span> </span></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,"",113.3980925,shopify,deny,manual,13.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/E21A38B5-85F4-4DDA-9801-E17EAC92FA72.jpg?v=1710166639,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,15.00,true,,,active
3-in-1-bundle,3-In-1 Bundle Deal,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">BWM Hair Growth Oil is a blend of 100% all natural oils and herbs. This handmade oil will help your hair to grow thicker and longer if consistent. It's great for all hair types for both women and men. BWM hair growth oil is 100% chemical and cruelty free.</span><br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Ingredients: Grapeseed Oil, Almond Oil, Rosemary Oil, Castor Oil, Herbal Blend. It's infused with many herbs such as: Amla, Peppermint, Hibiscus flowers, Curry leaves, Rose petals, Black cumin seeds, Fenugreek seeds, Neem seeds and more.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">For best results, read and follow as directed. Directions: Shake well before use. Apply a generous amount of oil directly to the scalp and massage in for 1-2 minutes. Use oil 3-5 times per week (or as needed). This oil is for external use only. Please perform a patch test before using. Available Size: 4oz/120ml</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Benefits: • May Promote Hair Stimulation • May Prevent Dandruff • May help Prevent Itchy Scalp • May Hydrates Scalp • May Prevent Hair Loss • May Prevents Breakage</span></p>
<p data-mce-fragment=""1""> </p>",My Store,,"","",true,Title,Default Title,,,,,,,,"",113.3980925,shopify,deny,manual,55.00,60.00,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/BBD5F2F0-AF0C-45A0-9FBC-C6C81A1B61C3.webp?v=1707359746,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,active
bwm-hair-growth-oil,BWM hair growth oil,"<p><span>BWM Hair Growth Oil is a blend of 100% all natural oils and herbs. This handmade oil will help your hair to grow thicker and longer if consistent. It's great for all hair types for both women and men. BWM hair growth oil is 100% chemical and cruelty free.</span></p>
<p><span><strong>Ingredients</strong>:  Almond Oil, Rosemary Oil, Argan oil, Castor Oil, Herbal Blend. It's infused with many herbs such as: Amla, Peppermint, Hibiscus flowers, Curry leaves, Rose petals, Black cumin seeds, Fenugreek seeds, Neem seeds and more.</span></p>
<p><span><strong>For best results, read and follow as directed.</strong> <br></span></p>
<p> </p>
<p><span><strong>Directions</strong> : Shake well before use. Apply a generous amount of oil directly to the scalp and massage in for 1-2 minutes. Use oil 3-5 times per week (or as needed). This oil is for external use only. Please perform a patch test before using. Available Size: 4oz/120ml</span></p>
<p><span><strong>Benefits</strong>: • May Promote Hair Stimulation • May Prevent Dandruff • May help Prevent Itchy Scalp • May Hydrates Scalp • May Prevent Hair Loss • May Prevents Breakage</span></p>
<p> </p>",My Store,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/617F1B9C-D6CD-46EC-AAB8-3C4847353707.webp?v=1707359482,1,"",false,,,,,,,,,,,,,,,'2,,,,,,,,,,,,,lb,,,true,,,active
